service_id,date,exception_type
1,20180101,1
1,20180214,1
1,20180215,1
1,20180216,1
1,20180217,1
1,20180218,1
1,20180219,1
1,20190220,1
1,20180425,1
1,20180430,1
1,20180501,1
1,20180902,1
2,20180101,2
2,20180214,2
2,20180215,2
2,20180216,2
2,20180217,2
2,20180218,2
2,20180219,2
2,20190220,2
2,20180425,2
2,20180430,2
2,20180501,2
2,20180902,2
3,20180101,2
3,20180214,2
3,20180215,2
3,20180216,2
3,20180217,2
3,20180218,2
3,20180219,2
3,20190220,2
3,20180425,2
3,20180430,2
3,20180501,2
3,20180902,2
4,20180101,2
4,20180214,2
4,20180215,2
4,20180216,2
4,20180217,2
4,20180218,2
4,20180219,2
4,20190220,2
4,20180425,2
4,20180430,2
4,20180501,2
4,20180902,2
5,20180101,2
5,20180214,2
5,20180215,2
5,20180216,2
5,20180217,2
5,20180218,2
5,20180219,2
5,20190220,2
5,20180425,2
5,20180430,2
5,20180501,2
5,20180902,2
