,,,,,,,KHÔNG HOẠT ĐỘNG / Will NOT Run on,CN,"T7,CN","T7,CN","T7,CN",,,,,,,,,,,
Tòa nhà Becamex,,,,,,,,6:15,6:25,6:35,6:45,7:15,8:15,9:15,10:15,11:15,12:15,13:15,14:15,15:15,16:15,17:15
Sân vận động Gò Đậu - Bình Dương,,,,,,,,6:17,6:27,6:37,6:47,7:17,8:17,9:17,10:17,11:17,12:17,13:17,14:17,15:17,16:17,17:17
Bến xe khách tỉnh Bình Dương,,,,,,,,6:18,6:28,6:38,6:48,7:18,8:18,9:18,10:18,11:18,12:18,13:18,14:18,15:18,16:18,17:18
Ngã ba Cây Me,,,,,,,,6:19,6:29,6:39,6:49,7:19,8:19,9:19,10:19,11:19,12:19,13:19,14:19,15:19,16:19,17:19
Ủy Ban Nhân Dân phường Phú Thọ,,,,,,,,6:21,6:31,6:41,6:51,7:21,8:21,9:21,10:21,11:21,12:21,13:21,14:21,15:21,16:21,17:21
Cafe Lucky,,,,,,,,6:22,6:32,6:42,6:52,7:22,8:22,9:22,10:22,11:22,12:22,13:22,14:22,15:22,16:22,17:22
Ngã tư Địa Chất,,,,,,,,6:23,6:33,6:43,6:53,7:23,8:23,9:23,10:23,11:23,12:23,13:23,14:23,15:23,16:23,17:23
Ngã tư Lê Hồng Phong - Đại Lộ BD,,,,,,,,6:24,6:35,6:45,6:55,7:24,8:24,9:24,10:24,11:24,12:24,13:24,14:24,15:24,16:24,17:24
Trường Cao Đẳng Y Tế Bình Dương,,,,,,,,6:25,6:36,6:46,6:56,7:25,8:25,9:25,10:25,11:25,12:25,13:25,14:25,15:25,16:25,17:25
Khu dân cư Phú Hòa,,,,,,,,6:27,6:39,6:49,6:59,7:27,8:27,9:27,10:27,11:27,12:27,13:27,14:27,15:27,16:27,17:27
Ngã ba Lê Hồng Phong - D1,,,,,,,,6:29,6:41,6:51,7:01,7:29,8:29,9:29,10:29,11:29,12:29,13:29,14:29,15:29,16:29,17:29
