,,,,,,,MÃ SỐ TUYẾN / ROUTE No,51,51,51,53,51,55,51,55,55,66,51,55,66,51,66,51,66,51,51,55,51,55,51,66,51,66,51,55,66,51,66,51,51,51,55,51,51,66,51,66,51,55,66,51,51,51,52,52,52,52,52,52
,,,,,,,KHÔNG HOẠT ĐỘNG / Will NOT Run on,,"T7,CN",,CN,"T7,CN","T7,CN",,"T7,CN","T7,CN",↓,,"T7,CN",↓,,↓,,↓,,,T2-6,,"T7,CN",,↓,,↓,,,↓,,↓,,,,,,,↓,,↓,,T2-6,↓,,,,,,,,,
,,,,,,,HƯỚNG ĐI / SERVICE TO*,ĐH,ĐH,ĐH,NTN,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,HK,HK,HK,HK,HK,HK
Tòa nhà Becamex,,,,,,,,6:00,6:20,6:30,6:33,6:40,6:50,7:00,7:05,7:20,,7:30,7:45,,8:00,,8:30,,9:00,9:30,9:45,10:00,10:25,10:30,,11:00,,11:30,11:45,,12:00,,12:30,13:00,13:30,13:45,14:00,14:30,,15:00,,15:30,15:45,,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00
Sân vận động Gò Đậu - Bình Dương,,,,,,,,6:02,6:22,6:32,6:35,6:42,↓,7:02,↓,↓,,7:32,↓,,8:02,,8:32,,9:02,9:32,↓,10:02,↓,10:32,,11:02,,11:32,↓,,12:02,,12:32,13:02,13:32,↓,14:02,14:32,,15:02,,15:32,↓,,16:02,16:32,17:02,17:32,18:02,18:32,19:02,19:32,20:02
Bến xe khách tỉnh Bình Dương,,,,,,,,6:03,6:24,6:34,6:37,6:44,↓,7:03,↓,↓,,7:33,↓,,8:03,,8:33,,9:03,9:33,↓,10:03,↓,10:33,,11:03,,11:33,↓,,12:03,,12:33,13:03,13:33,↓,14:03,14:33,,15:03,,15:33,↓,,16:03,16:33,17:03,17:33,18:03,18:33,19:03,19:33,20:03
Ngã ba Lò Chén,,,,,,,,6:05,6:27,6:37,6:40,6:47,↓,7:05,↓,↓,,7:35,↓,,8:05,,8:35,,9:05,9:35,↓,10:05,↓,10:35,,11:05,,11:35,↓,,12:05,,12:35,13:05,13:35,↓,14:05,14:35,,15:05,,15:35,↓,,16:05,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05
Nhà sách Bình Minh,,,,,,,,6:07,6:30,6:40,6:43,6:50,↓,7:08,↓,↓,,7:38,↓,,8:08,,8:38,,9:08,9:38,↓,10:08,↓,10:38,,11:08,,11:38,↓,,12:08,,12:38,13:08,13:38,↓,14:08,14:38,,15:08,,15:38,↓,,16:08,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08
Công viên Phú Cường,,,,,,,,6:07,6:30,6:40,6:43,6:50,↓,7:08,↓,↓,,7:38,↓,,8:08,,8:38,,9:08,9:38,↓,10:08,↓,10:38,,11:08,,11:38,↓,,12:08,,12:38,13:08,13:38,↓,14:08,14:38,,15:08,,15:38,↓,,16:08,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08
Chùa Bà Thiên Hậu,,,,,,,,6:09,6:32,6:42,6:45,6:52,↓,7:10,↓,↓,,7:40,↓,,8:10,,8:40,,9:10,9:40,↓,10:10,↓,10:40,,11:10,,11:40,↓,,12:10,,12:40,13:10,13:40,↓,14:10,14:40,,15:10,,15:40,↓,,16:10,16:40,17:10,17:40,18:10,18:40,19:10,19:40,20:10
Bệnh viện Phụ Sản Nhi Bình Dương,,,,,,,,6:11,6:34,6:44,6:47,6:54,↓,7:12,↓,↓,,7:42,↓,,8:12,,8:42,,9:12,9:42,↓,10:12,↓,10:42,,11:12,,11:42,↓,,12:12,,12:42,13:12,13:42,↓,14:12,14:42,,15:12,,15:42,↓,,16:12,16:42,17:12,17:42,18:12,18:42,19:12,19:42,20:12
Chợ Cây Dừa,,,,,,,,6:13,6:36,6:46,6:49,6:56,↓,7:14,↓,↓,,7:44,↓,,8:14,,8:44,,9:14,9:44,↓,10:14,↓,10:44,,11:14,,11:44,↓,,12:14,,12:44,13:14,13:44,↓,14:14,14:44,,15:14,,15:44,↓,,16:14,16:44,17:14,17:44,18:14,18:44,19:14,19:44,20:14
Công an phường Hiệp Thành,,,,,,,,6:15,6:38,6:48,6:51,6:58,↓,7:16,↓,↓,,7:46,↓,,8:16,,8:46,,9:16,9:46,↓,10:16,↓,10:46,,11:16,,11:46,↓,,12:16,,12:46,13:16,13:46,↓,14:16,14:46,,15:16,,15:46,↓,,16:16,16:46,17:16,17:46,18:16,18:46,19:16,19:46,20:16
Ngã Ba Đại Lộ BD - Huỳnh Văn Lũy,,,,,,,,↓,↓,↓,↓,↓,6:53,↓,7:08,7:23,,↓,7:48,,↓,,↓,,↓,↓,9:48,↓,10:28,↓,,↓,,↓,11:48,,↓,,↓,↓,↓,13:48,↓,↓,,↓,,↓,15:48,,↓,↓,↓,↓,↓,↓,↓,↓,↓
Thư viện Tỉnh Bình Dương,,,,,,,,6:16,6:40,6:50,6:53,7:00,6:57,7:17,7:12,7:27,,7:47,7:52,,8:17,,8:47,,9:17,9:47,9:52,10:17,10:32,10:47,,11:17,,11:47,11:52,,12:17,,12:47,13:17,13:47,13:52,14:17,14:47,,15:17,,15:47,15:52,,16:17,16:47,17:17,17:47,18:17,18:47,19:17,19:47,20:17
Bệnh viện Đa khoa Tỉnh Bình Dương,,,,,,,,6:17,6:41,6:51,6:54,7:01,6:58,7:18,7:13,7:28,,7:48,7:53,,8:18,,8:48,,9:18,9:48,9:53,10:18,10:33,10:48,,11:18,,11:48,11:53,,12:18,,12:48,13:18,13:48,13:53,14:18,14:48,,15:18,,15:48,15:53,,16:18,16:48,17:18,17:48,18:18,18:48,19:18,19:48,20:18
Ngã tư PNT - Nguyễn Đức Thuận,,,,,,,,6:18,6:42,6:52,6:55,7:02,6:59,7:19,7:14,7:29,,7:49,7:54,,8:19,,8:49,,9:19,9:49,9:54,10:19,10:34,10:49,,11:19,,11:49,11:54,,12:19,,12:49,13:19,13:49,13:54,14:19,14:49,,15:19,,15:49,15:54,,16:19,16:49,17:19,17:49,18:19,18:49,19:19,19:49,20:19
Trường trung tiểu học Petrus Ký,,,,,,,,6:19,6:43,6:53,6:56,7:03,7:00,7:20,7:15,7:30,,7:50,7:55,,8:20,,8:50,,9:20,9:50,9:55,10:20,10:35,10:50,,11:20,,11:50,11:55,,12:20,,12:50,13:20,13:50,13:55,14:20,14:50,,15:20,,15:50,15:55,,16:20,16:50,17:20,17:50,18:20,18:50,19:20,19:50,20:20
