,,,,,,,MÃ SỐ TUYẾN / ROUTE No,51,55,51,55,51,55,51,51,51,55,51,51,55,53,51,51,55,51,51,55,51,55,51,51,51,55,51,51,55,51,53,51,55,51,51,51,51,52,52,52,52
,,,,,,,KHÔNG HOẠT ĐỘNG / Will NOT Run on,,"T7,CN",,"T7,CN",,"T7,CN",,,,"T7,CN",,,T2-6,"T2-6,CN",,,"T7,CN",,,T2-6,,"T7,CN",,,,,,,"T7,CN",,"T7,CN",,"T7,CN","T7,CN",,,,,,,
Trường Ngô Thời Nhiệm,,,,,,,,,,,,,,,,,,,,,11:00,,,,,,,,,,,,,,,,,16:15,,,,,,,,,,
Đại học Quốc tế Miền Đông,,,,,,,,6:45,7:25,7:30,7:45,8:00,8:25,8:30,9:00,9:30,9:45,10:00,10:30,10:45,↓,11:00,11:30,11:45,12:00,12:30,12:45,13:00,13:05,13:30,14:00,14:30,14:45,15:00,15:30,15:45,16:00,↓,16:30,16:35,16:40,17:00,17:30,18:00,,,,
Cổng Bắc Đại học Quốc tế Miền Đông,,,,,,,,6:46,7:26,7:31,7:46,8:01,8:26,8:31,9:01,9:31,9:46,10:01,10:31,10:46,↓,11:01,11:31,11:46,12:01,12:31,12:46,13:01,13:06,13:31,14:01,14:31,14:46,15:01,15:31,15:46,16:01,↓,16:31,16:36,16:41,17:01,17:31,18:01,,,,
Aroma - Lê Lai,,,,,,,,6:48,7:28,7:33,7:48,8:03,8:28,8:33,9:03,9:33,9:48,10:03,10:33,10:48,↓,11:03,11:33,11:48,12:03,12:33,12:48,13:03,13:08,13:33,14:03,14:33,14:48,15:03,15:33,15:48,16:03,↓,16:33,16:38,16:43,17:03,17:33,18:03,,,,
Bảo hiểm xã hội tỉnh Bình Dương,,,,,,,,6:49,7:29,7:34,7:49,8:04,8:29,8:34,9:04,9:34,9:49,10:04,10:34,10:49,↓,11:04,11:34,11:49,12:04,12:34,12:49,13:04,13:09,13:34,14:04,14:34,14:49,15:04,15:34,15:49,16:04,↓,16:34,16:39,16:44,17:04,17:34,18:04,,,,
Sảnh sau Trung Tâm Hành Chính (Lưu ý),,,,,,,,↓,7:32,7:37,7:52,8:07,8:32,8:37,9:07,9:37,9:52,10:07,10:37,↓,↓,11:07,11:37,11:52,12:07,12:37,↓,13:07,13:12,13:37,14:07,14:37,14:52,15:07,15:37,15:52,16:07,↓,16:37,16:42,16:47,17:07,↓,↓,,,,
hikari,,,,,,,,6:51,7:34,7:39,7:54,8:09,8:34,8:39,9:09,9:39,9:54,10:09,10:39,10:54,↓,11:09,11:39,11:54,12:09,12:39,12:54,13:09,13:14,13:39,14:09,14:39,14:54,15:09,15:39,15:54,16:09,↓,16:39,16:44,16:49,17:09,17:39,18:09,18:39,19:09,19:39,20:09
Khách sạn Becamex Thành phố Mới,,,,,,,,6:51,7:34,7:39,7:54,8:09,8:34,8:39,9:09,9:39,9:54,10:09,10:39,10:54,↓,11:09,11:39,11:54,12:09,12:39,12:54,13:09,13:14,13:39,14:09,14:39,14:54,15:09,15:39,15:54,16:09,↓,16:39,16:44,16:49,17:09,17:39,18:09,18:39,19:09,19:39,20:09
Phố Thương mại - Lý Thái Tổ,,,,,,,,6:52,↓,7:40,↓,8:10,↓,8:40,9:10,9:40,↓,10:10,10:40,↓,↓,11:10,11:40,↓,12:10,12:40,↓,13:10,↓,13:40,14:10,14:40,↓,15:10,15:40,↓,16:10,↓,16:40,↓,16:50,17:10,17:40,18:10,18:40,19:10,19:40,20:10
Phố Thương mại - Đồng Khởi,,,,,,,,6:53,↓,7:41,↓,8:11,↓,8:41,9:11,9:41,↓,10:11,10:41,↓,11:01,11:11,11:41,↓,12:11,12:41,↓,13:11,↓,13:41,14:11,14:41,↓,15:11,15:41,↓,16:11,16:16,16:41,↓,16:51,17:11,17:41,18:11,18:41,19:11,19:41,20:11
Phố Thương mại - Lê Lợi,,,,,,,,6:53,↓,7:42,↓,8:12,↓,8:42,9:12,9:42,↓,10:12,10:42,↓,11:02,11:12,11:42,↓,12:12,12:42,↓,13:12,↓,13:42,14:12,14:42,↓,15:12,15:42,↓,16:12,16:17,16:42,↓,16:52,17:12,17:42,18:12,18:42,19:12,19:42,20:12
Lucky Square,,,,,,,,6:54,7:36,7:43,7:56,8:13,8:36,8:43,9:13,9:43,9:56,10:13,10:43,10:56,11:03,11:13,11:43,11:56,12:13,12:43,12:56,13:13,13:16,13:43,14:13,14:43,14:56,15:13,15:43,15:56,16:13,16:18,16:43,16:46,16:53,17:13,17:43,18:13,18:43,19:13,19:43,20:13
SORA gardens,,,,,,,,6:55,7:37,7:44,7:57,8:14,8:37,8:44,9:14,9:44,9:57,10:14,10:44,10:57,11:04,11:14,11:44,11:57,12:14,12:44,12:57,13:14,13:17,13:44,14:14,14:44,14:57,15:14,15:44,15:57,16:14,16:19,16:44,16:47,16:54,17:14,17:44,18:14,18:44,19:14,19:44,20:14
Ngã tư Đại lộ Hùng Vương - Võ Văn Kiệt,,,,,,,,6:56,7:38,7:45,7:58,8:15,8:38,8:45,9:15,9:45,9:58,10:15,10:45,10:58,11:05,11:15,11:45,11:58,12:15,12:45,12:58,13:15,13:18,13:45,14:15,14:45,14:58,15:15,15:45,15:58,16:15,16:20,16:45,16:48,16:55,17:15,17:45,18:15,18:45,19:15,19:45,20:15
Phạm Ngọc Thạch Số 1,,,,,,,,6:57,7:39,7:46,7:59,8:16,8:39,8:46,9:16,9:46,9:59,10:16,10:46,10:59,11:06,11:16,11:46,11:59,12:16,12:46,12:59,13:16,13:19,13:46,14:16,14:46,14:59,15:16,15:46,15:59,16:16,16:21,16:46,16:49,16:56,17:16,17:46,18:16,18:46,19:16,19:46,20:16
Ngã tư Phạm Ngọc Thạch - Trần Ngọc Lên,,,,,,,,6:59,7:41,7:48,8:01,8:18,8:41,8:48,9:18,9:48,10:01,10:18,10:48,11:01,11:08,11:18,11:48,12:01,12:18,12:48,13:01,13:18,13:21,13:48,14:18,14:48,15:01,15:18,15:48,16:01,16:18,16:23,16:48,16:51,16:58,17:18,17:48,18:18,18:48,19:18,19:48,20:18
Trung tâm văn hoá thể thao Tp.Thủ Dầu Một,,,,,,,,7:01,7:43,7:50,8:03,8:20,8:43,8:50,9:20,9:50,10:03,10:20,10:50,11:03,11:11,11:20,11:50,12:03,12:20,12:50,13:03,13:20,13:23,13:50,14:20,14:50,15:03,15:20,15:50,16:03,16:21,16:26,16:51,16:53,17:01,17:20,17:50,18:20,18:50,19:20,19:50,20:20
Ngã tư PNT - Mỹ Phước Tân Vạn ,,,,,,,,7:03,7:45,7:52,8:05,8:22,8:45,8:52,9:22,9:52,10:05,10:22,10:52,11:05,11:13,11:22,11:52,12:05,12:22,12:52,13:05,13:22,13:25,13:52,14:22,14:52,15:05,15:22,15:52,16:05,16:23,16:28,16:53,16:55,17:03,17:22,17:52,18:22,18:52,19:22,19:52,20:22
Trường trung tiểu học Petrus Ký,,,,,,,,7:04,7:46,7:53,8:06,8:23,8:46,8:53,9:23,9:53,10:06,10:23,10:53,11:06,11:14,11:23,11:53,12:06,12:23,12:53,13:06,13:23,13:26,13:53,14:23,14:53,15:06,15:23,15:53,16:06,16:24,16:29,16:54,16:56,17:04,17:23,17:53,18:23,18:53,19:23,19:53,20:23
Ngã tư PNT - Nguyễn Đức Thuận,,,,,,,,7:05,7:47,7:54,8:07,8:24,8:47,8:54,9:24,9:54,10:07,10:24,10:54,11:07,11:15,11:24,11:54,12:07,12:24,12:54,13:07,13:24,13:27,13:54,14:24,14:54,15:07,15:24,15:54,16:07,16:25,16:30,16:55,16:57,17:05,17:24,17:54,18:24,18:54,19:24,19:54,20:24
Bệnh viện Đa khoa Tỉnh Bình Dương,,,,,,,,7:07,7:49,7:56,8:09,8:26,8:49,8:56,9:26,9:56,10:09,10:26,10:56,11:09,11:17,11:26,11:56,12:09,12:26,12:56,13:09,13:26,13:29,13:56,14:26,14:56,15:09,15:26,15:56,16:09,16:27,16:32,16:57,16:59,17:07,17:26,17:56,18:26,18:56,19:26,19:56,20:26
Thư viện Tỉnh Bình Dương,,,,,,,,7:08,7:50,7:57,8:10,8:27,8:50,8:57,9:27,9:57,10:10,10:27,10:57,11:10,11:19,11:27,11:57,12:10,12:27,12:57,13:10,13:27,13:30,13:57,14:27,14:57,15:10,15:27,15:57,16:10,16:29,16:34,16:59,17:00,17:09,17:27,17:57,18:27,18:57,19:27,19:57,20:27
Ngã Ba Đại Lộ BD - Huỳnh Văn Lũy,,,,,,,,↓,7:54,↓,8:14,↓,8:54,↓,↓,↓,10:14,↓,↓,11:14,↓,↓,↓,12:14,↓,↓,13:14,↓,13:34,↓,↓,↓,15:14,↓,↓,16:14,↓,↓,↓,17:04,↓,↓,↓,↓,↓,↓,↓,↓
Công an phường Hiệp Thành,,,,,,,,7:09,↓,7:58,↓,8:28,↓,8:58,9:28,9:58,↓,10:28,10:58,↓,11:20,11:28,11:58,↓,12:28,12:58,↓,13:28,↓,13:58,14:28,14:58,↓,15:28,15:58,↓,16:30,16:35,17:00,↓,17:10,17:28,17:58,18:28,18:58,19:28,19:58,20:28
