,,,,,,,KHÔNG HOẠT ĐỘNG / Will NOT Run on,"T7,CN","T7,CN","T7,CN","T7,CN",CN,CN,CN,CN,"T7,CN","T7,CN","T7,CN"
Đại học Quốc tế Miền Đông,,,,,,,,7:34,8:04,8:34,9:04,11:04,11:34,12:04,12:34,15:04,15:34,16:04
Cổng Bắc Đại học Quốc tế Miền Đông,,,,,,,,7:35,8:05,8:35,9:05,11:05,11:35,12:05,12:35,15:05,15:35,16:05
Becamex UDJ Lake View,,,,,,,,7:38,8:08,8:38,9:08,11:08,11:38,12:08,12:38,15:08,15:38,16:08
Công viên trung tâm Thành phố Mới BD,,,,,,,,7:39,8:09,8:39,9:09,11:09,11:39,12:09,12:39,15:09,15:39,16:09
Trung tâm thể thao Thành phố Mới BD,,,,,,,,7:41,8:11,8:41,9:11,11:11,11:41,12:11,12:41,15:11,15:41,16:11
Công ty Becamex Tokyu,,,,,,,,7:41,8:11,8:41,9:11,11:11,11:41,12:11,12:41,15:11,15:41,16:11
SORA gardens,,,,,,,,7:43,8:13,8:43,9:13,11:13,11:43,12:13,12:43,15:13,15:43,16:13
Lucky Square,,,,,,,,7:44,8:14,8:44,9:14,11:14,11:44,12:14,12:44,15:14,15:44,16:14
Phố Thương mại - Lê Lợi,,,,,,,,7:45,8:15,8:45,9:15,11:15,11:45,12:15,12:45,15:15,15:45,16:15
Phố Thương mại - Đồng Khởi,,,,,,,,7:46,8:16,8:46,9:16,11:16,11:46,12:16,12:46,15:16,15:46,16:16
Phố Thương mại - Lý Thái Tổ,,,,,,,,7:47,8:17,8:47,9:17,11:17,11:47,12:17,12:47,15:17,15:47,16:17
Khách sạn Becamex Thành phố Mới,,,,,,,,7:48,8:18,8:48,9:18,11:18,11:48,12:18,12:48,15:18,15:48,16:18
hikari,,,,,,,,7:50,8:20,8:50,9:20,11:20,11:50,12:20,12:50,15:20,15:50,16:20
Bảo hiểm xã hội tỉnh Bình Dương,,,,,,,,7:50,8:20,8:50,9:20,11:20,11:50,12:20,12:50,15:20,15:50,16:20
Aroma - Lê Lai,,,,,,,,7:52,8:22,8:52,9:22,11:22,11:52,12:22,12:52,15:22,15:52,16:22
Đại học Quốc tế Miền Đông,,,,,,,,7:57,8:27,8:57,9:27,11:27,11:57,12:27,12:57,15:27,15:57,16:27
