,,,,,,,KHÔNG HOẠT ĐỘNG / Will NOT Run on,"T7,CN",,,,,,,,
hikari,,,,,,,,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00
Khách sạn Becamex Thành phố Mới,,,,,,,,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00
Phố Thương mại - Lý Thái Tổ,,,,,,,,8:01,9:01,10:01,11:01,12:01,13:01,14:01,15:01,16:01
Trường Nguyễn Khuyến,,,,,,,,8:03,9:03,10:03,11:03,12:03,13:03,14:03,15:03,16:03
Đường số 3 - số 8,,,,,,,,8:05,9:05,10:05,11:05,12:05,13:05,14:05,15:05,16:05
Đường số 3 - số 38,,,,,,,,8:06,9:06,10:06,11:06,12:06,13:06,14:06,15:06,16:06
Đường số 3 - Trần Quốc Toản,,,,,,,,8:08,9:08,10:08,11:08,12:08,13:08,14:08,15:08,16:08
Chợ Phú Chánh,,,,,,,,8:10,9:10,10:10,11:10,12:10,13:10,14:10,15:10,16:10
Cổng VSIP 2,,,,,,,,8:12,9:12,10:12,11:12,12:12,13:12,14:12,15:12,16:12
Unitown - Lê Hoàn,,,,,,,,8:13,9:13,10:13,11:13,12:13,13:13,14:13,15:13,16:13
MIDORI PARK,,,,,,,,8:15,9:15,10:15,11:15,12:15,13:15,14:15,15:15,16:15
Công ty VNTT,,,,,,,,8:17,9:17,10:17,11:17,12:17,13:17,14:17,15:17,16:17
TDC Plaza,,,,,,,,8:18,9:18,10:18,11:18,12:18,13:18,14:18,15:18,16:18
Bảo hiểm xã hội tỉnh Bình Dương,,,,,,,,8:19,9:19,10:19,11:19,12:19,13:19,14:19,15:19,16:19
hikari,,,,,,,,8:23,9:23,10:23,11:23,12:23,13:23,14:23,15:23,16:23
