stop_name,stop_lat,stop_lon
hikari,11.058186,106.6837316
Trường Ngô Thời Nhiệm,11.0531284,106.68998
Khách sạn Becamex Thành phố Mới,11.0569454,106.6844385
Đại học Quốc tế Miền Đông,11.0534481,106.6670547
SORA gardens,11.0469268,106.6789179
Chùa Hội An,11.064997,106.6868599
Tòa nhà Becamex,10.9758088,106.6704963
Sân vận động Gò Đậu - Bình Dương,10.970269,106.670538
Bến xe khách tỉnh Bình Dương,10.9663253,106.6689298
Ngã ba Lò Chén,10.9687267,106.6603734
Nhà sách Bình Minh,10.9763659,106.6577244
Công viên Phú Cường,10.9784859,106.6561948
Chùa Bà Thiên Hậu,10.9802692,106.6542503
Bệnh viện Phụ Sản Nhi Bình Dương,10.9834033,106.6526569
Chợ Cây Dừa,10.9906971,106.6510227
Công an phường Hiệp Thành,10.9925446,106.6541456
Thư viện Tỉnh Bình Dương,10.9936651,106.6560862
Thư viện Tỉnh Bình Dương,10.9936839,106.6558736
Bệnh viện Đa khoa Tỉnh Bình Dương,10.9963846,106.6564055
Bệnh viện Đa khoa Tỉnh Bình Dương,10.9963214,106.656619
Ngã tư PNT - Nguyễn Đức Thuận,11.0024049,106.6636639
Ngã tư PNT - Nguyễn Đức Thuận,11.0022154,106.6637777
Trường trung tiểu học Petrus Ký,11.00541,106.66665
Trường trung tiểu học Petrus Ký,11.0053222,106.6668309
Ngã tư PNT - Mỹ Phước Tân Vạn ,11.0086863,106.6689856
Ngã tư PNT - Mỹ Phước Tân Vạn ,11.0085027,106.6691645
Trung tâm văn hoá thể thao Tp.Thủ Dầu Một,11.0137634,106.6752409
Trung tâm văn hoá thể thao Tp.Thủ Dầu Một,11.0137461,106.6756054
Ngã tư Phạm Ngọc Thạch - Trần Ngọc Lên,11.0257949,106.6779054
Ngã tư Phạm Ngọc Thạch - Trần Ngọc Lên,11.0247679,106.67798
Phạm Ngọc Thạch Số 1,11.0350735,106.6784842
Phạm Ngọc Thạch Số 1,11.0351164,106.678784
Ngã tư Đại lộ Hùng Vương - Võ Văn Kiệt,11.0421631,106.6759042
Ngã tư Đại lộ Hùng Vương - Võ Văn Kiệt,11.0422748,106.676327
Lucky Square,11.0522581,106.6823683
Lucky Square,11.0525135,106.6820919
Phố Thương mại - Lê Lợi,11.0517194,106.6844111
Phố Thương mại - Lê Lợi,11.0519417,106.6845597
Phố Thương mại - Đồng Khởi,11.0531575,106.6863081
Phố Thương mại - Đồng Khởi,11.0531158,106.6865134
Phố Thương mại - Lý Thái Tổ,11.0551582,106.6870726
Phố Thương mại - Lý Thái Tổ,11.0553736,106.6872
Khách sạn Becamex Thành phố Mới,11.0571726,106.6846084
Bảo hiểm xã hội tỉnh Bình Dương,11.0589305,106.6812557
Bảo hiểm xã hội tỉnh Bình Dương,11.0586592,106.681337
Aroma - Lê Lai,11.0575292,106.6750331
Aroma - Lê Lai,11.0573054,106.6751255
Ngã ba Cây Me,10.9636232,106.6716315
Ủy Ban Nhân Dân phường Phú Thọ,10.9620774,106.6751854
Ngã tư Địa Chất,10.9652186,106.6826574
Ngã tư Lê Hồng Phong - Đại Lộ BD,10.9672203,106.6830863
Trường Cao Đẳng Y Tế Bình Dương,10.9704603,106.6825286
Khu dân cư Phú Hòa,10.9743024,106.6789333
Ngã ba Lê Hồng Phong - D1,10.9740342,106.6818473
Lê Hồng Phong Khu Phố 8,10.9788409,106.6809241
Trường trung học cơ sở Phú Hòa,10.9831749,106.6800804
Bảo hiểm xã hội tỉnh Bình Dương,10.9831227,106.6769782
Ngã ba Phú Lợi - Lê Thị Trung,10.9831923,106.6743328
Cục Thống Kê Bình Dương,10.9857788,106.6738433
Ngã ba Huỳnh Văn Lũy - Lê Hồng Phong,10.9904112,106.673652
Trung tâm văn hóa thể thao phường Phú Lợi ,10.9989855,106.6751183
Ngã tư Huỳnh Văn Lũy - Mỹ Phước Tân Vạn ,11.0032322,106.6757822
Ủy Ban Nhân Dân phường Phú Mỹ,11.0111916,106.6764781
Phòng khám Đa khoa Khu vực Phú Mỹ,11.0357851,106.6824131
Unitown - Lê Hoàn,11.0709744,106.6854642
Cổng VSIP 2,11.0732293,106.6849785
Ngã Ba Đại Lộ BD - Huỳnh Văn Lũy,10.9857346,106.6656242
Ngã Ba Đại Lộ BD - Huỳnh Văn Lũy,10.9858344,106.6658682
MIDORI PARK,11.0688573,106.6770981
Chợ Hòa Lợi,11.07713,106.6746204
Chợ Hòa Lợi,11.0771814,106.6748053
