route,dayoff,station1,station2,station3,station4,station5,station6,station7,station8,station9,station10,station11,station12,station13,station14,station15,station16,station17,station18,station19,station20,station21,station22,station23,station24,station25,station26,station27,station28,station29,station30,station31
51,TRUE,6:00,6:02,6:03,6:05,6:07,6:07,6:09,6:11,6:13,6:15,,6:16,6:17,6:18,6:19,6:20,6:22,6:24,6:25,6:26,6:27,6:28,6:29,6:29,6:30,6:31,6:33,6:33,6:35,6:40,
51,FALSE,6:20,6:22,6:24,6:27,6:30,6:30,6:32,6:34,6:36,6:38,,6:40,6:41,6:42,6:43,6:44,6:46,6:48,6:49,6:50,6:51,6:52,6:53,6:54,6:55,6:56,7:00,7:00,7:02,7:07,
51,TRUE,6:30,6:32,6:34,6:37,6:40,6:40,6:42,6:44,6:46,6:48,,6:50,6:51,6:52,6:53,6:54,6:56,6:58,6:59,7:00,7:01,7:02,7:03,7:04,7:05,7:06,7:10,7:10,7:12,7:17,
53,FALSE,6:33,6:35,6:37,6:40,6:43,6:43,6:45,6:47,6:49,6:51,,6:53,6:54,6:55,6:56,6:57,6:59,7:01,7:02,7:03,7:04,7:05,7:06,7:07,,,,,,,7:13
51,FALSE,6:40,6:42,6:44,6:47,6:50,6:50,6:52,6:54,6:56,6:58,,7:00,7:01,7:02,7:03,7:04,7:06,7:08,7:09,7:10,7:11,7:12,7:13,7:14,7:15,7:16,7:20,7:20,7:22,7:27,
55,FALSE,6:50,,,,,,,,,,6:53,6:57,6:58,6:59,7:00,7:01,7:03,7:05,7:06,7:07,7:08,7:09,,,,7:11,7:13,7:13,7:15,7:20,
51,TRUE,7:00,7:02,7:03,7:05,7:08,7:08,7:10,7:12,7:14,7:16,,7:17,7:18,7:19,7:20,7:21,7:23,7:25,7:26,7:27,7:28,7:29,7:30,7:31,7:32,7:33,7:35,7:35,7:37,7:42,
55,FALSE,7:05,,,,,,,,,,7:08,7:12,7:13,7:14,7:15,7:16,7:18,7:20,7:21,7:22,7:23,7:24,,,,7:26,7:28,7:28,7:30,7:35,
51,TRUE,7:30,7:32,7:33,7:35,7:38,7:38,7:40,7:42,7:44,7:46,,7:47,7:48,7:49,7:50,7:51,7:53,7:55,7:56,7:57,7:58,7:59,8:00,8:01,8:02,8:03,8:05,8:05,8:07,8:12,
55,FALSE,7:50,,,,,,,,,,7:53,7:57,7:58,7:59,8:00,8:01,8:03,8:05,8:06,8:07,8:08,8:09,,,,8:11,8:13,8:13,8:15,8:20,
