Code,Name
1,Tòa nhà Becamex
2,Sân v?n ??ng Gò ??u - Bình D??ng
3,B?n xe khách t?nh Bình D??ng
4,Ngã ba Lò Chén
5,Nhà sách Bình Minh
6,Công viên Phú C??ng
7,Chùa Bà Thiên H?u
8,B?nh vi?n Ph? S?n Nhi Bình D??ng
9,Ch? Cây D?a
10,Công an ph??ng Hi?p Thành
11,Ngã Ba ??i L? Bình D??ng - Hu?nh V?n L?y
12,Th? vi?n T?nh Bình D??ng
13,B?nh vi?n ?a khoa T?nh Bình D??ng
14,Ngã t? Ph?m Ng?c Th?ch - Nguy?n ??c Thu?n
15,Tr??ng trung ti?u h?c Petrus Ký
16,Ngã t? Ph?m Ng?c Th?ch - M? Ph??c Tân V?n
17,Trung tâm v?n hoá th? thao Tp. Th? D?u M?t
18,Ngã t? Ph?m Ng?c Th?ch - Tr?n Ng?c Lên
19,Ph?m Ng?c Th?ch S? 1
20,Ngã t? ??i l? Hùng V??ng - Võ V?n Ki?t
21,SORA gardens
22,Lucky Square
23,Ph? Th??ng m?i - Lê L?i
24,Ph? Th??ng m?i - ??ng Kh?i
25,Ph? Th??ng m?i - Lý Thái T?
26,Khách s?n Becamex Thành ph? M?i
27,hikari
28,B?o hi?m xã h?i t?nh Bình D??ng
29,Aroma - Lê Lai
30,??i h?c Qu?c t? Mi?n ?ông
31,Tr??ng Ngô Th?i Nhi?m
32,Ngã ba Cây Me
33,?y Ban Nhân Dân ph??ng Phú Th?
34,Cafe Lucky
35,Ngã t? ??a Ch?t
36,Ngã t? Lê H?ng Phong - ??i L? Bình D??ng
37,Tr??ng Cao ??ng Y T? Bình D??ng
38,Khu dân c? Phú Hòa
39,Ngã ba Lê H?ng Phong - D1
40,Lê H?ng Phong Khu Ph? 8
41,Tr??ng trung h?c c? s? Phú Hòa
42,Ngã ba Phú L?i - Hu?nh V?n Ngh?
43,Ngã ba Phú L?i - Lê Th? Trung
44,C?c Th?ng Kê Bình D??ng
45,Tr??ng ??i H?c M?
46,Ngã ba Hu?nh V?n L?y - Lê H?ng Phong
47,Trung tâm v?n hóa th? thao ph??ng Phú L?i
48,Ngã t? Hu?nh V?n L?y - M? Ph??c Tân V?n
49,?y Ban Nhân Dân ph??ng Phú M?
50,Ngã ba Phú M?
51,Ngã ba Hu?nh V?n L?y - Tr?n Ng?c Lên
52,Phòng khám ?a khoa Khu v?c Phú M?
53,Ban QL Phát Tri?n Khu Liên H?p Bình D??ng
54,Chua H?i An
55,Unitown - Lê Hoàn
56,C?ng VSIP 2
57,VSIP2 Th?ng Nh?t - ???ng s? 2
58,VSIP2 Th?ng Nh?t - ???ng s? 4
59,VSIP2 Th?ng Nh?t - Dân Ch?
60,VSIP2 Th?ng Nh?t - ???ng s? 6
61,VSIP2 Th?ng Nh?t - ???ng s? 7
62,C?ng B?c ??i h?c Qu?c t? Mi?n ?ông
63,Becamex UDJ Lake View
64,Công viên trung tâm Thành ph? M?i Bình D??n
65,Trung tâm th? thao Thành ph? M?i Bình D??ng
66,Công ty Becamex Tokyu
67,MIDORI PARK
68,Ch? Hòa L?i
69,Nhà ? an sinh xã h?i Hòa L?i
70,VSIP2 Dân Ch? - Vành ?ai 1
71,VSIP2 Dân Ch? - Th?ng Nh?t
72,Tr??ng Nguy?n Khuy?n
73,???ng s? 3 - s? 8
74,???ng s? 3 - s? 38
75,???ng s? 3 - Tr?n Qu?c To?n
76,Ch? Phu Chanh
77,Công ty VNTT
78,TDC Plaza
